title,artist
Flowers,Miley Cyrus
Kill Bill,SZA
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Anti-Hero,Taylor Swift
Unholy,Sam Smith & Kim Petras
Die For You,The Weeknd
I'm Good (Blue),David Guetta & Bebe Rexha
Rich Flex,Drake & 21 Savage
As It Was,Harry Styles
Just Wanna Rock,Lil Uzi Vert
Made You Look,Meghan Trainor
Golden Hour,JVKE
Under The Influence,Chris Brown
Something In The Orange,Zach Bryan
Cuff It,Beyonce
Rock And A Hard Place,Bailey Zimmerman
Thank God,Kane Brown With Katelyn Brown
You Proof,Morgan Wallen
Lavender Haze,Taylor Swift
Bad Habit,Steve Lacy
Thought You Should Know,Morgan Wallen
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Escapism,RAYE Featuring 070 Shake
"Going, Going, Gone",Luke Combs
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Calm Down,Rema & Selena Gomez
Last Night,Morgan Wallen
Until I Found You,Stephen Sanchez
Wait In The Truck,HARDY Featuring Lainey Wilson
The Kind Of Love We Make,Luke Combs
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Shirt,SZA
Heart Like A Truck,Lainey Wilson
Wait For U,Future Featuring Drake & Tems
Snooze,SZA
Sure Thing,Miguel
Bebe Dame,Fuerza Regida X Grupo Frontera
Players,Coi Leray
Tomorrow 2,GloRilla & Cardi B
Love Again,The Kid LAROI
She Had Me At Heads Carolina,Cole Swindell
Dawns,Zach Bryan Featuring Maggie Rogers
Whiskey On You,Nate Smith
Super Freaky Girl,Nicki Minaj
Nobody Gets Me,SZA
Unstoppable,Sia
What My World Spins Around,Jordan Davis
Sunroof,Nicky Youre & dazy
I Ain't Worried,OneRepublic
About Damn Time,Lizzo
Lift Me Up,Rihanna
Que Vuelvas,Carin Leon X Grupo Frontera
Low,SZA
One Thing At A Time,Morgan Wallen
Tennessee Orange,Megan Moroney
Bloody Mary,Lady Gaga
What He Didn't Do,Carly Pearce
I Wrote The Book,Morgan Wallen
Freestyle,Lil Baby
Handle On You,Parker McCollum
Everything I Love,Morgan Wallen
Wild As Her,Corey Kent
Forget Me,Lewis Capaldi
Growin' Up And Gettin' Old,Luke Combs
Here With Me,d4vd
The Color Violet,Tory Lanez
Spin Bout U,Drake & 21 Savage
Blind,SZA
Love You Better,Future
La Bachata,Manuel Turizo
I'm Not Here To Make Friends,Sam Smith
Nonsense,Sabrina Carpenter
No Se Va,Grupo Frontera
10:35,Tiesto Featuring Tate McRae
Snap,Rosa Linn
Shut Up My Moms Calling,Hotel Ugly
OMG,NewJeans
Love Language,SZA
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
The Black Seminole.,Lil Yachty
You Didn't,Brett Young
I Wish You Roses,Kali Uchis
La Jumpa,Arcangel & Bad Bunny
Too Many Nights,Metro Boomin Featuring Don Toliver & Future
Do It Again,NLE Choppa & 2Rare
Fin de Semana,Junior H X Oscar Maydon
Circo Loco,Drake & 21 Savage
That's What Tequila Does,Jason Aldean
Back End,Finesse2Tymes
Ditto,NewJeans
Human,Cody Johnson
Tennessee Fan,Morgan Wallen
Knight Crawler,Trippie Redd & Juice WRLD
California Breeze,Lil Baby
Next Thing You Know,Jordan Davis
Hey Mor,Ozuna Featuring Feid
Gato de Noche,Nengo Flow & Bad Bunny
Heart To Heart,Mac DeMarco
Never Gonna Not Dance Again,P!nk
Dancin' In The Country,Tyler Hubbard
